# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   3)               |      kmem_cache_alloc() {
   3)   0.083 us    |        should_failslab();
   3)   0.248 us    |      }
   3)   0.197 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.084 us    |        rcu_all_qs();
   3)   0.238 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)               |        ___slab_alloc() {
   3)               |          get_any_partial() {
   3)   0.081 us    |            mempolicy_slab_node();
   3)   0.255 us    |          }
   3)               |          allocate_slab() {
   3)               |            alloc_pages() {
   3)   0.085 us    |              policy_nodemask();
   3)   0.080 us    |              policy_node();
   3)               |              __alloc_pages() {
   3)   0.079 us    |                should_fail_alloc_page.constprop.0();
   3)   0.080 us    |                alloc_page_from_dhugetlb_pool();
   3)               |                get_page_from_freelist() {
   3)               |                  rmqueue_pcplist.constprop.0() {
   3)   0.792 us    |                    __inc_numa_state();
   3)   0.098 us    |                    __inc_numa_state();
   3)               |                    irq_enter_rcu() {
   3)   0.153 us    |                      irqtime_account_irq();
   3)   0.397 us    |                    }
   3)               |                    __sysvec_apic_timer_interrupt() {
   3)               |                      hrtimer_interrupt() {
   3)   0.099 us    |                        _raw_spin_lock_irqsave();
   3)   0.181 us    |                        ktime_get_update_offsets_now();
   3)               |                        __hrtimer_run_queues() {
   3)               |                          __run_hrtimer() {
   3)   0.094 us    |                            _raw_spin_unlock_irqrestore();
   3)               |                            tick_sched_timer() {
   3)   0.109 us    |                              ktime_get();
   3)               |                              tick_sched_do_timer() {
   3)               |                                tick_do_update_jiffies64.part.0() {
   3)   0.102 us    |                                  _raw_spin_lock();
   3)   0.083 us    |                                  calc_global_load();
   3)               |                                  update_wall_time() {
   3)               |                                    timekeeping_advance() {
   3)   0.091 us    |                                      _raw_spin_lock_irqsave();
   3)   0.082 us    |                                      ntp_tick_length();
   3)   0.105 us    |                                      logarithmic_accumulation.constprop.0();
   3)               |                                      timekeeping_adjust.constprop.0() {
   3)   0.082 us    |                                        ntp_tick_length();
   3)   0.255 us    |                                      }
   3)               |                                      timekeeping_update() {
   3)   0.087 us    |                                        ntp_get_next_leap();
   3)   0.139 us    |                                        update_vsyscall();
   3)   0.085 us    |                                        raw_notifier_call_chain();
   3)   0.137 us    |                                        update_fast_timekeeper();
   3)   0.089 us    |                                        update_fast_timekeeper();
   3)   1.088 us    |                                      }
   3)   0.083 us    |                                      _raw_spin_unlock_irqrestore();
   3)   2.331 us    |                                    }
   3)   2.507 us    |                                  }
   3)   3.040 us    |                                }
   3)   3.209 us    |                              }
   3)               |                              tick_sched_handle() {
   3)               |                                update_process_times() {
   3)               |                                  account_process_tick() {
   3)               |                                    irqtime_account_process_tick() {
   3)               |                                      account_system_index_time() {
   3)               |                                        cpuacct_account_field() {
   3)   0.143 us    |                                          rcu_read_unlock_strict();
   3)   0.377 us    |                                        }
   3)   0.102 us    |                                        rcu_read_unlock_strict();
   3)   0.155 us    |                                        acct_account_cputime();
   3)   0.974 us    |                                      }
   3)   1.142 us    |                                    }
   3)   1.310 us    |                                  }
   3)   0.082 us    |                                  hrtimer_run_queues();
   3)               |                                  rcu_sched_clock_irq() {
   3)   0.080 us    |                                    rcu_is_cpu_rrupt_from_idle();
   3)               |                                    rcu_pending() {
   3)   0.099 us    |                                      check_cpu_stall();
   3)   0.082 us    |                                      rcu_is_cpu_rrupt_from_idle();
