# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)   0.085 us    |                _raw_spin_lock_irqsave();
   1)   0.083 us    |                _raw_spin_lock();
   1)   0.441 us    |              }
   1)               |              update_rq_clock() {
   1)   0.086 us    |                update_rq_clock_task();
   1)   0.258 us    |              }
   1)   0.090 us    |              _raw_spin_unlock_irqrestore();
   1)   1.381 us    |            }
   1)   1.541 us    |          }
   1)   0.181 us    |          kfree();
   1) + 78.802 us   |        }
   1) + 78.997 us   |      }
   1)               |      wake_up_process() {
   1)               |        try_to_wake_up() {
   1)   0.089 us    |          _raw_spin_lock_irqsave();
   1)               |          select_task_rq_fair() {
   1)               |            select_idle_sibling() {
   1)   0.103 us    |              available_idle_cpu();
   1)   0.274 us    |            }
   1)   0.087 us    |            rcu_read_unlock_strict();
   1)   0.670 us    |          }
   1)               |          ttwu_queue() {
   1)               |            ttwu_queue_wakelist.part.0() {
   1)               |              __smp_call_single_queue() {
   1)               |                send_call_function_single_ipi() {
   1)               |                  native_send_call_func_single_ipi() {
   1)               |                    x2apic_send_IPI() {
   1)   8.535 us    |                      __x2apic_send_IPI_dest();
   1)   8.960 us    |                    }
   1)   9.148 us    |                  }
   1)   9.348 us    |                }
   1)   9.549 us    |              }
   1)   9.788 us    |            }
   1)   9.981 us    |          }
   1)   0.156 us    |          _raw_spin_unlock_irqrestore();
   1)   0.094 us    |          ttwu_stat();
   1) + 11.608 us   |        }
   1) + 11.772 us   |      }
   1)               |      __cond_resched() {
   1)   0.110 us    |        rcu_all_qs();
   1)   0.314 us    |      }
   1)               |      down() {
   1)   0.092 us    |        _raw_spin_lock_irqsave();
   1)   0.092 us    |        _raw_spin_unlock_irqrestore();
   1)   0.448 us    |      }
   1)               |      kthread_create_on_node() {
   1)               |        __kthread_create_on_node() {
   1)               |          kmem_cache_alloc_trace() {
   1)   0.087 us    |            should_failslab();
   1)   0.324 us    |          }
   1)   0.124 us    |          _raw_spin_lock();
   1)               |          wake_up_process() {
   1)               |            try_to_wake_up() {
   1)   0.123 us    |              _raw_spin_lock_irqsave();
   1)               |              select_task_rq_fair() {
   1)               |                select_idle_sibling() {
   1)   0.124 us    |                  available_idle_cpu();
   1)   0.313 us    |                }
   1)   0.087 us    |                rcu_read_unlock_strict();
   1)   0.675 us    |              }
   1)               |              ttwu_queue() {
   1)   0.108 us    |                ttwu_queue_wakelist.part.0();
   1)   0.085 us    |                _raw_spin_lock();
   1)               |                update_rq_clock() {
   1)   0.127 us    |                  update_rq_clock_task();
   1)   0.317 us    |                }
   1)               |                ttwu_do_activate() {
   1)               |                  activate_task() {
   1)               |                    enqueue_task_fair() {
   1)               |                      enqueue_entity() {
   1)   0.086 us    |                        update_curr();
   1)   0.087 us    |                        __update_load_avg_se();
   1)   0.106 us    |                        __update_load_avg_cfs_rq();
   1)   0.083 us    |                        update_cfs_group();
   1)   0.094 us    |                        check_spread.isra.0();
   1)   1.080 us    |                      }
   1)   0.088 us    |                      hrtick_update();
   1)   1.443 us    |                    }
   1)   1.652 us    |                  }
   1)               |                  ttwu_do_wakeup() {
   1)               |                    check_preempt_curr() {
   1)               |                      resched_curr() {
   1)               |                        native_smp_send_reschedule() {
   1)               |                          x2apic_send_IPI() {
   1)   7.319 us    |                            __x2apic_send_IPI_dest();
   1)   7.701 us    |                          }
   1)   7.875 us    |                        }
   1)   8.091 us    |                      }
   1)   8.275 us    |                    }
   1)   8.586 us    |                  }
   1) + 10.472 us   |                }
   1) + 11.403 us   |              }
   1)   0.247 us    |              _raw_spin_unlock_irqrestore();
   1)   0.093 us    |              ttwu_stat();
   1) + 13.110 us   |            }
   1) + 13.298 us   |          }
   1)               |          wait_for_completion_killable() {
   1)               |            wait_for_common() {
   1)   0.086 us    |              _raw_spin_lock_irq();
   1)   0.095 us    |              __prepare_to_swait();
   1)               |              schedule_timeout() {
   1)               |                schedule() {
   1)               |                  rcu_note_context_switch() {
   1)   0.099 us    |                    rcu_qs();
   1)   0.267 us    |                  }
   1)   0.095 us    |                  _raw_spin_lock();
   1)               |                  update_rq_clock() {
   1)               |                    update_rq_clock_task() {
   1)   0.087 us    |                      update_irq_load_avg();
   1)   0.311 us    |                    }
   1)   0.482 us    |                  }
   1)               |                  deactivate_task() {
   1)               |                    dequeue_task_fair() {
   1)               |                      dequeue_entity() {
   1)               |                        update_curr() {
   1)   0.089 us    |                          update_min_vruntime();
   1)               |                          cpuacct_charge() {
   1)   0.157 us    |                            rcu_read_unlock_strict();
   1)   0.322 us    |                          }
   1)   0.102 us    |                          rcu_read_unlock_strict();
   1)   0.918 us    |                        }
   1)   0.093 us    |                        __update_load_avg_se();
   1)   0.088 us    |                        __update_load_avg_cfs_rq();
   1)   0.095 us    |                        clear_buddies();
   1)   0.094 us    |                        update_cfs_group();
   1)   0.085 us    |                        update_min_vruntime();
   1)   1.990 us    |                      }
   1)   0.084 us    |                      hrtick_update();
   1)   2.352 us    |                    }
   1)   2.542 us    |                  }
   1)               |                  pick_next_task_fair() {
   1)               |                    newidle_balance() {
   1)   0.096 us    |                      __msecs_to_jiffies();
   1)   0.084 us    |                      rcu_read_unlock_strict();
   1)   0.088 us    |                      nohz_newidle_balance();
   1)   0.643 us    |                    }
   1)   0.088 us    |                    try_steal();
   1)   0.084 us    |                    __unthrottle_qos_cfs_rqs();
   1)   1.197 us    |                  }
   1)               |                  put_prev_task_fair() {
   1)               |                    put_prev_entity() {
   1)   0.086 us    |                      check_cfs_rq_runtime();
   1)   0.095 us    |                      check_spread.isra.0();
   1)   0.450 us    |                    }
   1)   0.612 us    |                  }
   1)   0.088 us    |                  pick_next_task_idle();
   1)   0.221 us    |                  __traceiter_sched_switch();
   1)   0.114 us    |                  enter_lazy_tlb();
   1)   0.285 us    |                  finish_task_switch();
   1) + 61.412 us   |                }
   1) + 61.638 us   |              }
