# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)   0.083 us    |          housekeeping_cpumask();
   1)               |          set_cpus_allowed_ptr() {
   1)               |            __set_cpus_allowed_ptr() {
   1)               |              task_rq_lock() {
   1)   0.086 us    |                _raw_spin_lock_irqsave();
   1)   0.083 us    |                _raw_spin_lock();
   1)   0.423 us    |              }
   1)               |              update_rq_clock() {
   1)   0.082 us    |                update_rq_clock_task();
   1)   0.246 us    |              }
   1)   0.091 us    |              _raw_spin_unlock_irqrestore();
   1)   1.125 us    |            }
   1)   1.279 us    |          }
   1)   0.201 us    |          kfree();
   1) + 78.913 us   |        }
   1) + 79.096 us   |      }
   1)               |      wake_up_process() {
   1)               |        try_to_wake_up() {
   1)   0.085 us    |          _raw_spin_lock_irqsave();
   1)               |          select_task_rq_fair() {
   1)               |            select_idle_sibling() {
   1)   0.116 us    |              available_idle_cpu();
   1)   0.294 us    |            }
   1)   0.084 us    |            rcu_read_unlock_strict();
   1)   0.688 us    |          }
   1)               |          ttwu_queue() {
   1)               |            ttwu_queue_wakelist.part.0() {
   1)               |              __smp_call_single_queue() {
   1)               |                send_call_function_single_ipi() {
   1)               |                  native_send_call_func_single_ipi() {
   1)               |                    x2apic_send_IPI() {
   1)   7.798 us    |                      __x2apic_send_IPI_dest();
   1)   8.215 us    |                    }
   1)   8.401 us    |                  }
   1)   8.595 us    |                }
   1)   8.794 us    |              }
   1)   9.029 us    |            }
   1)   9.208 us    |          }
   1)   0.134 us    |          _raw_spin_unlock_irqrestore();
   1)   0.092 us    |          ttwu_stat();
   1) + 10.797 us   |        }
   1) + 10.961 us   |      }
   1)               |      __cond_resched() {
   1)   0.110 us    |        rcu_all_qs();
   1)   0.285 us    |      }
   1)               |      down() {
   1)   0.094 us    |        _raw_spin_lock_irqsave();
   1)   0.103 us    |        _raw_spin_unlock_irqrestore();
   1)   0.463 us    |      }
   1)               |      kthread_create_on_node() {
   1)               |        __kthread_create_on_node() {
   1)               |          kmem_cache_alloc_trace() {
   1)   0.086 us    |            should_failslab();
   1)   0.361 us    |          }
   1)   0.143 us    |          _raw_spin_lock();
   1)               |          wake_up_process() {
   1)               |            try_to_wake_up() {
   1)   0.125 us    |              _raw_spin_lock_irqsave();
   1)               |              select_task_rq_fair() {
   1)               |                select_idle_sibling() {
   1)   0.124 us    |                  available_idle_cpu();
   1)   0.301 us    |                }
   1)   0.083 us    |                rcu_read_unlock_strict();
   1)   0.669 us    |              }
   1)               |              ttwu_queue() {
   1)   0.120 us    |                ttwu_queue_wakelist.part.0();
   1)   0.084 us    |                _raw_spin_lock();
   1)               |                update_rq_clock() {
   1)   0.119 us    |                  update_rq_clock_task();
   1)   0.303 us    |                }
   1)               |                ttwu_do_activate() {
   1)               |                  activate_task() {
   1)               |                    enqueue_task_fair() {
   1)               |                      enqueue_entity() {
   1)   0.087 us    |                        update_curr();
   1)   0.098 us    |                        __update_load_avg_se();
   1)   0.086 us    |                        __update_load_avg_cfs_rq();
   1)   0.101 us    |                        update_cfs_group();
   1)   0.113 us    |                        check_spread.isra.0();
   1)   1.271 us    |                      }
   1)   0.093 us    |                      hrtick_update();
   1)   1.643 us    |                    }
   1)   1.863 us    |                  }
   1)               |                  ttwu_do_wakeup() {
   1)               |                    check_preempt_curr() {
   1)               |                      resched_curr() {
   1)               |                        native_smp_send_reschedule() {
   1)               |                          x2apic_send_IPI() {
   1)   7.783 us    |                            __x2apic_send_IPI_dest();
   1)   8.262 us    |                          }
   1)   8.445 us    |                        }
   1)   8.642 us    |                      }
   1)   8.848 us    |                    }
   1)   9.150 us    |                  }
   1) + 11.253 us   |                }
   1) + 12.185 us   |              }
   1)   0.152 us    |              _raw_spin_unlock_irqrestore();
   1)   0.101 us    |              ttwu_stat();
   1) + 13.856 us   |            }
   1) + 14.053 us   |          }
   1)               |          wait_for_completion_killable() {
   1)               |            wait_for_common() {
   1)   0.095 us    |              _raw_spin_lock_irq();
   1)   0.099 us    |              __prepare_to_swait();
   1)               |              schedule_timeout() {
   1)               |                schedule() {
   1)               |                  rcu_note_context_switch() {
   1)   0.085 us    |                    rcu_qs();
   1)   0.264 us    |                  }
   1)   0.093 us    |                  _raw_spin_lock();
   1)               |                  update_rq_clock() {
   1)               |                    update_rq_clock_task() {
   1)   0.115 us    |                      update_irq_load_avg();
   1)   0.326 us    |                    }
   1)   0.510 us    |                  }
   1)               |                  deactivate_task() {
   1)               |                    dequeue_task_fair() {
   1)               |                      dequeue_entity() {
   1)               |                        update_curr() {
   1)   0.102 us    |                          update_min_vruntime();
   1)               |                          cpuacct_charge() {
   1)   0.172 us    |                            rcu_read_unlock_strict();
   1)   0.342 us    |                          }
