# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |                  native_send_call_func_single_ipi() {
   0)   0.416 us    |              }
   0)               |              update_rq_clock() {
   0)   0.084 us    |                update_rq_clock_task();
   0)   0.264 us    |              }
   0)   0.090 us    |              _raw_spin_unlock_irqrestore();
   0)   1.134 us    |            }
   0)   1.287 us    |          }
   0)   0.211 us    |          kfree();
   0) ! 113.921 us  |        }
   0) ! 114.089 us  |      }
   0)               |      wake_up_process() {
   0)               |        try_to_wake_up() {
   0)   0.088 us    |          _raw_spin_lock_irqsave();
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.091 us    |              available_idle_cpu();
   0)   0.282 us    |            }
   0)   0.083 us    |            rcu_read_unlock_strict();
   0)   0.712 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   8.671 us    |                      __x2apic_send_IPI_dest();
   0)   9.235 us    |                    }
   0)   9.437 us    |                  }
   0)   9.640 us    |                }
   0)   9.848 us    |              }
   0) + 10.080 us   |            }
   0) + 10.282 us   |          }
   0)   0.204 us    |          _raw_spin_unlock_irqrestore();
   0)   0.100 us    |          ttwu_stat();
   0) + 12.111 us   |        }
   0) + 12.269 us   |      }
   0)               |      __cond_resched() {
   0)   0.114 us    |        rcu_all_qs();
   0)   0.338 us    |      }
   0)               |      down() {
   0)   0.093 us    |        _raw_spin_lock_irqsave();
   0)   0.100 us    |        _raw_spin_unlock_irqrestore();
   0)   0.475 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.100 us    |            should_failslab();
   0)   0.363 us    |          }
   0)   0.133 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
